segment_id,city_name,admin_ward,latitude,longitude,catchment_id,elevation_m,dem_source,land_use,soil_group,drainage_density_km_per_km2,storm_drain_proximity_m,storm_drain_type,rainfall_source,historical_rainfall_intensity_mm_hr,return_period_years,risk_labels
SEG-00065,"Barcelona, Spain",District 11,41.494167,2.061047,CAT-083,9.32,SRTM_3arc,Roads,,7.79,106.7,CurbInlet,ERA5,31.1,25,monitor
SEG-00066,"Manila, Philippines",Ward B,14.645109,120.944,CAT-068,25.12,SRTM_1arc,Roads,B,,44.6,OpenChannel,,77.8,25,monitor
SEG-00067,"Karachi, Pakistan",Sector 16,24.894516,66.99248,CAT-158,105.73,Copernicus_GLO-30_v2023,Residential,A,6.39,103.5,Manhole,IMD,13,5,monitor
SEG-00068,"Chennai, India",Borough Central,13.07693,80.268495,CAT-022,0.17,Copernicus_GLO-30_v2023,Roads,C,,,GratedInlet,LocalGauge,49.3,25,ponding_hotspot|low_lying|event_2024-07-21
SEG-00069,"Lagos, Nigeria",Zone VI,6.504458,3.368462,CAT-116,6.76,SRTM_3arc,Roads,D,7.46,11.5,GratedInlet,ERA5,85.8,25,ponding_hotspot|extreme_rain_history|low_lying|event_2023-05-16
SEG-00070,"Accra, Ghana",Sector 7,5.667662,-0.214601,CAT-153,-3,SRTM_1arc,Mixed,B,8.63,128.8,GratedInlet,ERA5,62.6,5,low_lying
SEG-00071,"Durban, South Africa",Ward G,-29.807949,30.926977,CAT-114,29.63,Copernicus_EEA-10_v5,Commercial,B,6.61,27.8,CurbInlet,,31.5,100,monitor
SEG-00072,"Seoul, South Korea",Sector 28,37.629794,126.97571,CAT-134,9.2,SRTM_1arc,Residential,B,3.61,124.6,Manhole,ERA5,23.4,25,monitor
SEG-00073,"Barcelona, Spain",Ward B,41.391372,2.063055,CAT-143,17.29,Copernicus_EEA-10_v5,Residential,C,3.08,279.5,None,LocalGauge,41.7,5,monitor
SEG-00074,"Kuala Lumpur, Malaysia",Ward I,3.182771,101.805347,CAT-113,111.02,SRTM_1arc,Roads,B,7.47,259.6,OpenChannel,LocalGauge,109.1,50,extreme_rain_history
SEG-00075,"Shanghai, China",Zone I,31.171222,121.392772,CAT-059,17.09,Copernicus_GLO-30_v2023,Commercial,B,,89.7,GratedInlet,ERA5,48.6,50,monitor
SEG-00076,"Auckland, New Zealand",District 28,-36.914207,174.717566,CAT-115,73.7,Copernicus_EEA-10_v5,Residential,C,,98.8,Manhole,ERA5,35.7,10,monitor
SEG-00077,"Tokyo, Japan",Sector 19,35.617194,139.668548,CAT-050,77.35,Copernicus_GLO-30_v2023,Commercial,C,,242.5,OpenChannel,LocalGauge,64,25,monitor
SEG-00078,"Tehran, Iran",Zone III,35.709705,51.366584,CAT-001,64.16,SRTM_1arc,Commercial,D,10.58,52.8,CurbInlet,IMD,23.5,5,monitor
SEG-00079,"Brisbane, Australia",Borough East,-27.300398,153.054727,CAT-116,,SRTM_3arc,Mixed,C,6.67,161.5,CurbInlet,IMD,32.3,100,monitor
SEG-00080,"Dhaka, Bangladesh",Borough Delta,23.760802,90.417449,CAT-041,37.1,SRTM_1arc,Industrial,,10.58,198,GratedInlet,IMD,82.7,100,extreme_rain_history
SEG-00081,"Buenos Aires, Argentina",Ward J,-34.718054,-58.379462,CAT-112,85.45,Copernicus_GLO-90_v2022,Residential,C,8.64,67.7,GratedInlet,Blended,19.5,2,monitor
SEG-00082,"Colombo, Sri Lanka",Ward E,6.843577,79.842526,CAT-116,17.18,Copernicus_GLO-90_v2022,Green,C,2.93,154.8,GratedInlet,,51.4,10,sparse_drainage
SEG-00083,"Accra, Ghana",Sector 8,5.62251,-0.22747,CAT-101,-1.2,SRTM_3arc,Roads,A,8.66,,OpenChannel,ERA5,38.7,5,low_lying
SEG-00084,"Paris, France",Borough Delta,48.808427,2.279906,CAT-169,103.83,SRTM_3arc,Commercial,B,3.81,4.2,Manhole,,19.6,50,monitor
SEG-00085,"Doha, Qatar",Zone VIII,25.200856,51.667687,CAT-162,46.88,SRTM_3arc,Roads,A,4.51,120.1,OpenChannel,ERA5,25.9,10,monitor
SEG-00086,"Istanbul, Türkiye",Sector 21,40.940379,28.973808,CAT-014,97.56,SRTM_1arc,Residential,C,3.02,10.2,GratedInlet,ERA5,29.5,10,monitor
SEG-00087,"San Francisco, USA",Ward G,37.699621,-122.366738,CAT-053,29.5,SRTM_1arc,Commercial,D,7.5,12.8,GratedInlet,,33.4,2,monitor
SEG-00088,"Singapore, Singapore",Ward F,1.30347,103.820979,CAT-147,2.95,Copernicus_GLO-30_v2023,Commercial,A,9.32,104.2,Manhole,Blended,52.8,25,low_lying
SEG-00089,"Houston, USA",District 11,29.738211,-95.43419,CAT-164,46.98,Copernicus_GLO-30_v2023,Green,A,2,74.8,OpenChannel,IMD,31.9,2,sparse_drainage
SEG-00090,"Cape Town, South Africa",District 5,-33.993151,18.480013,CAT-048,91.93,SRTM_1arc,Residential,C,4.15,118.5,GratedInlet,,21.4,5,monitor
SEG-00091,"Amsterdam, Netherlands",Sector 21,52.446797,4.866846,CAT-127,,Copernicus_GLO-30_v2023,Residential,B,5.16,76.2,GratedInlet,ERA5,44.6,100,monitor
SEG-00092,"Hamburg, Germany",District 8,53.629559,9.992491,CAT-117,75.56,SRTM_3arc,Industrial,D,,,CurbInlet,IMD,40.9,10,monitor
SEG-00093,"New Orleans, USA",Sector 5,29.958394,-90.21213,CAT-071,,Copernicus_GLO-30_v2023,Water,B,6.03,179.8,Manhole,ERA5,22.6,5,monitor
SEG-00094,"Rome, Italy",Sector 1,41.899658,12.477563,CAT-174,44.38,Copernicus_EEA-10_v5,Commercial,B,,41.3,GratedInlet,ERA5,24.8,50,monitor
SEG-00095,"Singapore, Singapore",Zone II,1.250584,103.964467,CAT-001,27.64,SRTM_1arc,Residential,D,6.56,45.1,Manhole,IMD,69.3,10,monitor
SEG-00096,"Shanghai, China",Zone V,31.227445,121.422029,CAT-153,9.11,Copernicus_EEA-10_v5,Water,,5.44,75.8,CurbInlet,,24.5,25,monitor
SEG-00097,"Hong Kong, China",Sector 11,22.228144,114.256566,CAT-084,9.36,SRTM_1arc,Residential,D,7.15,199.4,OpenChannel,ERA5,31.5,2,monitor
SEG-00098,"Hong Kong, China",Ward K,22.312751,114.103122,CAT-095,16.76,SRTM_3arc,Commercial,D,4.83,,None,ERA5,68.1,2,monitor
SEG-00099,"Taipei, Taiwan",Borough West,25.005631,121.506985,CAT-062,131.12,SRTM_1arc,Industrial,B,8.8,,CurbInlet,IMD,40.4,2,monitor
SEG-00100,"Shanghai, China",Sector 20,31.190875,121.479518,CAT-022,11.38,Copernicus_GLO-30_v2023,Industrial,D,8.27,65,CurbInlet,,49.7,5,monitor
SEG-00101,"Athens, Greece",Borough Harbor,37.961044,23.563666,CAT-081,20.72,SRTM_1arc,Roads,A,6.87,50.9,GratedInlet,IMD,26.2,10,monitor
SEG-00102,"Riyadh, Saudi Arabia",Zone IV,24.64336,46.686333,CAT-118,47.45,Copernicus_GLO-90_v2022,Green,A,,165.1,CurbInlet,,23,10,monitor
SEG-00103,"Paris, France",Borough Harbor,48.893045,2.260981,CAT-017,21.87,Copernicus_EEA-10_v5,Residential,B,8.19,44.3,Manhole,ERA5,18.4,25,monitor
SEG-00104,"Hamburg, Germany",District 16,53.611978,10.108059,CAT-043,65.35,Copernicus_EEA-10_v5,Industrial,C,10.74,6.2,GratedInlet,,24.4,25,monitor
SEG-00105,"Amsterdam, Netherlands",District 4,52.342532,4.859696,CAT-091,7.72,SRTM_3arc,Commercial,A,9.35,,Manhole,LocalGauge,27.1,10,low_lying
SEG-00106,"Durban, South Africa",District 9,-29.853424,31.032758,CAT-014,38.05,SRTM_3arc,Institutional,,2.56,,None,ERA5,32.3,10,sparse_drainage|event_2024-05-19
SEG-00107,"Washington DC, USA",Ward F,38.999216,-77.039618,CAT-003,-3,SRTM_3arc,Green,,,203.1,GratedInlet,IMD,33.9,10,low_lying
SEG-00108,"Buenos Aires, Argentina",Sector 23,-34.693569,-58.313554,CAT-072,63.9,Copernicus_GLO-30_v2023,Commercial,D,,41.7,OpenChannel,IMD,47.7,25,monitor
SEG-00109,"Riyadh, Saudi Arabia",Sector 8,24.714514,46.722161,CAT-051,54.72,Copernicus_GLO-30_v2023,Residential,,7.38,0.6,GratedInlet,ERA5,11.4,5,monitor
SEG-00110,"Ahmedabad, India",District 27,23.069753,72.619834,CAT-149,95.87,Copernicus_EEA-10_v5,Industrial,A,,49.4,GratedInlet,IMD,27.2,2,monitor
SEG-00111,"Doha, Qatar",Zone VIII,25.213652,51.455758,CAT-023,64.2,Copernicus_EEA-10_v5,Residential,C,5.17,180.2,OpenChannel,LocalGauge,12.6,50,monitor
SEG-00112,"Nairobi, Kenya",Sector 7,-1.430486,36.81412,CAT-137,41.46,SRTM_3arc,Residential,D,3.49,115.2,GratedInlet,,15.5,5,monitor
SEG-00113,"Bangkok, Thailand",District 24,13.831079,100.405684,CAT-131,39.34,SRTM_3arc,Residential,,3.69,32.1,Manhole,ERA5,61.7,10,monitor
SEG-00114,"New Orleans, USA",Ward B,29.885492,-90.129196,CAT-073,18.2,SRTM_1arc,Residential,,7.24,302.1,None,Blended,25,10,monitor
SEG-00115,"Mumbai, India",Ward K,18.958103,72.945249,CAT-154,12.78,Copernicus_GLO-30_v2023,Green,D,,234.9,CurbInlet,ERA5,60.4,100,monitor
SEG-00116,"San Francisco, USA",District 22,37.817249,-122.539137,CAT-134,137.68,SRTM_3arc,Commercial,B,4.5,206.7,OpenChannel,ERA5,22,5,monitor
SEG-00117,"Bogotá, Colombia",Sector 9,4.615015,-74.103586,CAT-011,86.21,SRTM_1arc,Commercial,D,5.68,229.7,OpenChannel,Blended,26.3,2,monitor
SEG-00118,"Delhi, India",Zone VIII,28.578707,77.129648,CAT-146,52,SRTM_3arc,Residential,A,5.05,52.1,Manhole,LocalGauge,57.2,50,monitor
SEG-00119,"Paris, France",Zone VIII,49.00432,2.384769,CAT-003,80.1,SRTM_1arc,Roads,B,11.5,,OpenChannel,Blended,26.2,50,monitor
SEG-00120,"Athens, Greece",Ward G,38.085449,23.694449,CAT-138,89.01,SRTM_3arc,Residential,,4.69,251.2,OpenChannel,ERA5,33.3,100,monitor
SEG-00121,"Barcelona, Spain",Ward G,41.397426,2.130915,CAT-156,7.75,Copernicus_GLO-30_v2023,Industrial,A,8.81,13.6,OpenChannel,IMD,59.5,5,low_lying
SEG-00122,"Copenhagen, Denmark",Zone VI,55.752965,12.543794,CAT-054,33.28,SRTM_3arc,Industrial,,9.34,192.4,OpenChannel,Blended,39.7,10,monitor
SEG-00123,"San Francisco, USA",Sector 1,37.667235,-122.385164,CAT-061,157.71,SRTM_3arc,Roads,B,7.72,58.6,CurbInlet,ERA5,32.7,5,monitor
SEG-00124,"London, UK",Ward K,51.538351,-0.044745,CAT-040,19.38,SRTM_1arc,Residential,B,6.81,217.2,None,Blended,25.5,5,monitor
SEG-00125,"Hong Kong, China",Borough North,22.363853,114.231517,CAT-122,-3,SRTM_3arc,Green,D,6.46,196.4,Manhole,ERA5,80,50,ponding_hotspot|extreme_rain_history|low_lying|event_2023-09-13
SEG-00126,"Houston, USA",Borough Central,29.76286,-95.326222,CAT-035,-3,SRTM_1arc,Residential,,3.25,257.9,OpenChannel,Blended,14.1,10,low_lying
SEG-00127,"Miami, USA",Sector 11,25.683689,-80.143126,CAT-129,20.23,Copernicus_EEA-10_v5,Commercial,A,7.96,80.1,CurbInlet,ERA5,64,100,monitor
SEG-00128,"New Orleans, USA",Borough Hillside,29.917917,-90.133784,CAT-114,10.49,SRTM_1arc,Residential,D,8.41,85.6,Manhole,IMD,34.8,2,monitor
SEG-00129,"Manila, Philippines",Borough Riverside,14.626959,121.034607,CAT-130,5.55,Copernicus_GLO-30_v2023,Residential,D,2.59,206.9,OpenChannel,Blended,43.3,25,low_lying|sparse_drainage|event_2023-07-20
SEG-00130,"Athens, Greece",Zone VIII,37.93318,23.867411,CAT-090,101.45,Copernicus_GLO-30_v2023,Commercial,A,8.64,107.2,CurbInlet,Blended,50,25,monitor
SEG-00131,"Singapore, Singapore",District 30,1.381917,103.765085,CAT-161,9.63,SRTM_1arc,Commercial,A,9.38,250.4,OpenChannel,ERA5,47.4,25,monitor
SEG-00132,"San Francisco, USA",Zone II,37.826832,-122.317446,CAT-122,,Copernicus_EEA-10_v5,Industrial,B,5.84,51.2,GratedInlet,Blended,39.1,50,monitor
SEG-00133,"Tokyo, Japan",Borough Riverside,35.619716,139.666566,CAT-037,85.07,SRTM_1arc,Roads,A,7.14,22,OpenChannel,LocalGauge,13.1,5,monitor
SEG-00134,"New Orleans, USA",Sector 27,30.013738,-89.898774,CAT-040,7.31,SRTM_1arc,Roads,C,9.29,62.7,OpenChannel,ERA5,88.1,5,extreme_rain_history|low_lying
SEG-00135,"Karachi, Pakistan",Borough Hillside,24.79732,66.950893,CAT-123,39.82,Copernicus_GLO-30_v2023,Commercial,D,5.92,26.1,None,ERA5,29.7,5,monitor
SEG-00136,"Karachi, Pakistan",Borough East,24.92432,67.113589,CAT-017,-3,Copernicus_EEA-10_v5,Residential,D,5.59,22.5,Manhole,Blended,26.8,2,ponding_hotspot|low_lying
SEG-00137,"Jakarta, Indonesia",Borough South,-6.291373,106.866273,CAT-029,23.46,SRTM_1arc,Residential,B,4.57,19.6,CurbInlet,Blended,99.9,10,extreme_rain_history
SEG-00138,"Nairobi, Kenya",Borough Hillside,-1.189306,36.702201,CAT-055,33.15,Copernicus_GLO-90_v2022,Residential,B,3.78,87.1,Manhole,,28.6,25,monitor
SEG-00139,"Nairobi, Kenya",District 5,-1.294683,36.690698,CAT-146,0.43,SRTM_3arc,Residential,B,5.92,15.7,OpenChannel,ERA5,19.6,2,low_lying
SEG-00140,"Chennai, India",District 3,13.094673,80.136531,CAT-091,1.55,SRTM_1arc,Residential,B,,175.8,CurbInlet,ERA5,78.8,50,low_lying
SEG-00141,"Mumbai, India",Sector 12,19.119209,72.974745,CAT-158,-1.52,SRTM_1arc,Industrial,,5.29,80.9,Manhole,LocalGauge,60.4,25,ponding_hotspot|low_lying|event_2024-08-16
SEG-00142,"Karachi, Pakistan",Ward H,24.873609,67.004016,CAT-125,168.72,SRTM_1arc,Commercial,,5.13,126.1,Manhole,Blended,53.8,5,monitor
SEG-00143,"Shenzhen, China",Borough Riverside,22.601394,114.076103,CAT-039,11.56,Copernicus_EEA-10_v5,Roads,B,7.98,92.1,CurbInlet,ERA5,129.1,100,extreme_rain_history
SEG-00144,"Rome, Italy",Zone X,41.918194,12.655554,CAT-038,,Copernicus_GLO-30_v2023,Green,B,,224.5,GratedInlet,ERA5,37.3,5,monitor
SEG-00145,"Lima, Peru",Zone III,-12.092222,-77.063148,CAT-067,,Copernicus_GLO-90_v2022,Residential,A,3.38,74.1,GratedInlet,LocalGauge,85.6,5,extreme_rain_history
SEG-00146,"Osaka, Japan",Zone IV,34.572652,135.500546,CAT-088,-3,Copernicus_EEA-10_v5,Residential,C,,86.9,GratedInlet,ERA5,33.4,2,ponding_hotspot|low_lying|event_2024-03-31
SEG-00147,"Jakarta, Indonesia",Borough West,-6.355887,106.72977,CAT-179,8.53,Copernicus_GLO-30_v2023,Residential,A,6.13,99.6,Manhole,,65.8,10,monitor
SEG-00148,"Lima, Peru",District 19,-11.99651,-77.205472,CAT-080,76.66,Copernicus_GLO-30_v2023,Residential,,4.03,,OpenChannel,ERA5,56.9,10,monitor
SEG-00149,"Cape Town, South Africa",Sector 25,-33.916867,18.403212,CAT-070,,Copernicus_GLO-90_v2022,Residential,D,3.9,6,CurbInlet,ERA5,72.5,50,monitor
SEG-00150,"Kuala Lumpur, Malaysia",Zone III,3.132832,101.668637,CAT-033,7.92,SRTM_1arc,Residential,D,5.14,78.6,GratedInlet,ERA5,72.2,100,ponding_hotspot|low_lying
