latitude,longitude,elevation,drainage_density,storm_drain_distance,rainfall_intensity,return_period,city_name,admin_ward,dem_source,land_use,soil_group,storm_drain_type,rainfall_source,flood_risk_level
19.454178,-99.104387,121.11,8.39,66.5,36.9,100,"Mexico City, Mexico",Sector 26,SRTM_1arc,Residential,,OpenChannel,ERA5,Low
1.390561,103.837383,,8.34,73.8,150.0,50,"Singapore, Singapore",District 14,SRTM_3arc,Roads,,CurbInlet,ERA5,Very High
35.692218,51.489906,4.07,7.63,42.2,15.0,25,"Tehran, Iran",Borough Hillside,SRTM_3arc,Commercial,C,GratedInlet,ERA5,High
4.675203,-73.978098,3.59,,167.0,14.0,10,"Bogotá, Colombia",Sector 26,Copernicus_GLO-30_v2023,Informal,A,CurbInlet,IMD,High
24.916909,121.592372,50.4,7.95,15.0,40.8,5,"Taipei, Taiwan",District 23,SRTM_3arc,Roads,B,CurbInlet,Blended,Low
37.690835,-122.45266,66.57,8.8,86.6,80.4,5,"San Francisco, USA",Borough Old Town,SRTM_3arc,Roads,C,Manhole,LocalGauge,Moderate
19.512895,-99.05693,14.73,7.81,120.5,47.3,5,"Mexico City, Mexico",Borough Old Town,SRTM_3arc,Roads,A,Manhole,,Low
-6.269827,106.847064,6.38,2.73,133.7,53.7,2,"Jakarta, Indonesia",Sector 9,Copernicus_GLO-30_v2023,Green,,Manhole,LocalGauge,High
3.188477,101.738006,68.26,9.7,30.1,45.0,50,"Kuala Lumpur, Malaysia",District 13,Copernicus_GLO-90_v2022,Industrial,D,CurbInlet,ERA5,Low
41.494167,2.061047,9.32,7.79,106.7,31.1,25,"Barcelona, Spain",District 11,SRTM_3arc,Roads,,CurbInlet,ERA5,Low
14.645109,120.944,25.12,,44.6,77.8,25,"Manila, Philippines",Ward B,SRTM_1arc,Roads,B,OpenChannel,,Low
24.894516,66.99248,105.73,6.39,103.5,13.0,5,"Karachi, Pakistan",Sector 16,Copernicus_GLO-30_v2023,Residential,A,Manhole,IMD,Low
13.07693,80.268495,0.17,,,49.3,25,"Chennai, India",Borough Central,Copernicus_GLO-30_v2023,Roads,C,GratedInlet,LocalGauge,Very High
6.504458,3.368462,6.76,7.46,11.5,85.8,25,"Lagos, Nigeria",Zone VI,SRTM_3arc,Roads,D,GratedInlet,ERA5,Very High
5.667662,-0.214601,-3.0,8.63,128.8,62.6,5,"Accra, Ghana",Sector 7,SRTM_1arc,Mixed,B,GratedInlet,ERA5,High
-29.807949,30.926977,29.63,6.61,27.8,31.5,100,"Durban, South Africa",Ward G,Copernicus_EEA-10_v5,Commercial,B,CurbInlet,,Low
37.629794,126.97571,9.2,3.61,124.6,23.4,25,"Seoul, South Korea",Sector 28,SRTM_1arc,Residential,B,Manhole,ERA5,Low
41.391372,2.063055,17.29,3.08,279.5,41.7,5,"Barcelona, Spain",Ward B,Copernicus_EEA-10_v5,Residential,C,,LocalGauge,Low
3.182771,101.805347,111.02,7.47,259.6,109.1,50,"Kuala Lumpur, Malaysia",Ward I,SRTM_1arc,Roads,B,OpenChannel,LocalGauge,Moderate
31.171222,121.392772,17.09,,89.7,48.6,50,"Shanghai, China",Zone I,Copernicus_GLO-30_v2023,Commercial,B,GratedInlet,ERA5,Low
-36.914207,174.717566,73.7,,98.8,35.7,10,"Auckland, New Zealand",District 28,Copernicus_EEA-10_v5,Residential,C,Manhole,ERA5,Low
35.617194,139.668548,77.35,,242.5,64.0,25,"Tokyo, Japan",Sector 19,Copernicus_GLO-30_v2023,Commercial,C,OpenChannel,LocalGauge,Low
35.709705,51.366584,64.16,10.58,52.8,23.5,5,"Tehran, Iran",Zone III,SRTM_1arc,Commercial,D,CurbInlet,IMD,Low
-27.300398,153.054727,,6.67,161.5,32.3,100,"Brisbane, Australia",Borough East,SRTM_3arc,Mixed,C,CurbInlet,IMD,Low
23.760802,90.417449,37.1,10.58,198.0,82.7,100,"Dhaka, Bangladesh",Borough Delta,SRTM_1arc,Industrial,,GratedInlet,IMD,Moderate
-34.718054,-58.379462,85.45,8.64,67.7,19.5,2,"Buenos Aires, Argentina",Ward J,Copernicus_GLO-90_v2022,Residential,C,GratedInlet,Blended,Low
6.843577,79.842526,17.18,2.93,154.8,51.4,10,"Colombo, Sri Lanka",Ward E,Copernicus_GLO-90_v2022,Green,C,GratedInlet,,Moderate
5.62251,-0.22747,-1.2,8.66,,38.7,5,"Accra, Ghana",Sector 8,SRTM_3arc,Roads,A,OpenChannel,ERA5,High
48.808427,2.279906,103.83,3.81,4.2,19.6,50,"Paris, France",Borough Delta,SRTM_3arc,Commercial,B,Manhole,,Low
25.200856,51.667687,46.88,4.51,120.1,25.9,10,"Doha, Qatar",Zone VIII,SRTM_3arc,Roads,A,OpenChannel,ERA5,Low
40.940379,28.973808,97.56,3.02,10.2,29.5,10,"Istanbul, Türkiye",Sector 21,SRTM_1arc,Residential,C,GratedInlet,ERA5,Low
37.699621,-122.366738,29.5,7.5,12.8,33.4,2,"San Francisco, USA",Ward G,SRTM_1arc,Commercial,D,GratedInlet,,Low
1.30347,103.820979,2.95,9.32,104.2,52.8,25,"Singapore, Singapore",Ward F,Copernicus_GLO-30_v2023,Commercial,A,Manhole,Blended,High
29.738211,-95.43419,46.98,2.0,74.8,31.9,2,"Houston, USA",District 11,Copernicus_GLO-30_v2023,Green,A,OpenChannel,IMD,Moderate
-33.993151,18.480013,91.93,4.15,118.5,21.4,5,"Cape Town, South Africa",District 5,SRTM_1arc,Residential,C,GratedInlet,,Low
52.446797,4.866846,,5.16,76.2,44.6,100,"Amsterdam, Netherlands",Sector 21,Copernicus_GLO-30_v2023,Residential,B,GratedInlet,ERA5,Low
53.629559,9.992491,75.56,,,40.9,10,"Hamburg, Germany",District 8,SRTM_3arc,Industrial,D,CurbInlet,IMD,Low
29.958394,-90.21213,,6.03,179.8,22.6,5,"New Orleans, USA",Sector 5,Copernicus_GLO-30_v2023,Water,B,Manhole,ERA5,Low
41.899658,12.477563,44.38,,41.3,24.8,50,"Rome, Italy",Sector 1,Copernicus_EEA-10_v5,Commercial,B,GratedInlet,ERA5,Low
1.250584,103.964467,27.64,6.56,45.1,69.3,10,"Singapore, Singapore",Zone II,SRTM_1arc,Residential,D,Manhole,IMD,Low
31.227445,121.422029,9.11,5.44,75.8,24.5,25,"Shanghai, China",Zone V,Copernicus_EEA-10_v5,Water,,CurbInlet,,Low
22.228144,114.256566,9.36,7.15,199.4,31.5,2,"Hong Kong, China",Sector 11,SRTM_1arc,Residential,D,OpenChannel,ERA5,Low
22.312751,114.103122,16.76,4.83,,68.1,2,"Hong Kong, China",Ward K,SRTM_3arc,Commercial,D,,ERA5,Low
25.005631,121.506985,131.12,8.8,,40.4,2,"Taipei, Taiwan",Borough West,SRTM_1arc,Industrial,B,CurbInlet,IMD,Low
31.190875,121.479518,11.38,8.27,65.0,49.7,5,"Shanghai, China",Sector 20,Copernicus_GLO-30_v2023,Industrial,D,CurbInlet,,Low
37.961044,23.563666,20.72,6.87,50.9,26.2,10,"Athens, Greece",Borough Harbor,SRTM_1arc,Roads,A,GratedInlet,IMD,Low
24.64336,46.686333,47.45,,165.1,23.0,10,"Riyadh, Saudi Arabia",Zone IV,Copernicus_GLO-90_v2022,Green,A,CurbInlet,,Low
48.893045,2.260981,21.87,8.19,44.3,18.4,25,"Paris, France",Borough Harbor,Copernicus_EEA-10_v5,Residential,B,Manhole,ERA5,Low
53.611978,10.108059,65.35,10.74,6.2,24.4,25,"Hamburg, Germany",District 16,Copernicus_EEA-10_v5,Industrial,C,GratedInlet,,Low
52.342532,4.859696,7.72,9.35,,27.1,10,"Amsterdam, Netherlands",District 4,SRTM_3arc,Commercial,A,Manhole,LocalGauge,High
-29.853424,31.032758,38.05,2.56,,32.3,10,"Durban, South Africa",District 9,SRTM_3arc,Institutional,,,ERA5,Very High
38.999216,-77.039618,-3.0,,203.1,33.9,10,"Washington DC, USA",Ward F,SRTM_3arc,Green,,GratedInlet,IMD,High
-34.693569,-58.313554,63.9,,41.7,47.7,25,"Buenos Aires, Argentina",Sector 23,Copernicus_GLO-30_v2023,Commercial,D,OpenChannel,IMD,Low
24.714514,46.722161,54.72,7.38,0.6,11.4,5,"Riyadh, Saudi Arabia",Sector 8,Copernicus_GLO-30_v2023,Residential,,GratedInlet,ERA5,Low
23.069753,72.619834,95.87,,49.4,27.2,2,"Ahmedabad, India",District 27,Copernicus_EEA-10_v5,Industrial,A,GratedInlet,IMD,Low
25.213652,51.455758,64.2,5.17,180.2,12.6,50,"Doha, Qatar",Zone VIII,Copernicus_EEA-10_v5,Residential,C,OpenChannel,LocalGauge,Low
-1.430486,36.81412,41.46,3.49,115.2,15.5,5,"Nairobi, Kenya",Sector 7,SRTM_3arc,Residential,D,GratedInlet,,Low
13.831079,100.405684,39.34,3.69,32.1,61.7,10,"Bangkok, Thailand",District 24,SRTM_3arc,Residential,,Manhole,ERA5,Low
29.885492,-90.129196,18.2,7.24,302.1,25.0,10,"New Orleans, USA",Ward B,SRTM_1arc,Residential,,,Blended,Low
18.958103,72.945249,12.78,,234.9,60.4,100,"Mumbai, India",Ward K,Copernicus_GLO-30_v2023,Green,D,CurbInlet,ERA5,Low
37.817249,-122.539137,137.68,4.5,206.7,22.0,5,"San Francisco, USA",District 22,SRTM_3arc,Commercial,B,OpenChannel,ERA5,Low
4.615015,-74.103586,86.21,5.68,229.7,26.3,2,"Bogotá, Colombia",Sector 9,SRTM_1arc,Commercial,D,OpenChannel,Blended,Low
28.578707,77.129648,52.0,5.05,52.1,57.2,50,"Delhi, India",Zone VIII,SRTM_3arc,Residential,A,Manhole,LocalGauge,Low
49.00432,2.384769,80.1,11.5,,26.2,50,"Paris, France",Zone VIII,SRTM_1arc,Roads,B,OpenChannel,Blended,Low
38.085449,23.694449,89.01,4.69,251.2,33.3,100,"Athens, Greece",Ward G,SRTM_3arc,Residential,,OpenChannel,ERA5,Low
41.397426,2.130915,7.75,8.81,13.6,59.5,5,"Barcelona, Spain",Ward G,Copernicus_GLO-30_v2023,Industrial,A,OpenChannel,IMD,High
55.752965,12.543794,33.28,9.34,192.4,39.7,10,"Copenhagen, Denmark",Zone VI,SRTM_3arc,Industrial,,OpenChannel,Blended,Low
37.667235,-122.385164,157.71,7.72,58.6,32.7,5,"San Francisco, USA",Sector 1,SRTM_3arc,Roads,B,CurbInlet,ERA5,Low
51.538351,-0.044745,19.38,6.81,217.2,25.5,5,"London, UK",Ward K,SRTM_1arc,Residential,B,,Blended,Low
22.363853,114.231517,-3.0,6.46,196.4,80.0,50,"Hong Kong, China",Borough North,SRTM_3arc,Green,D,Manhole,ERA5,Very High
29.76286,-95.326222,-3.0,3.25,257.9,14.1,10,"Houston, USA",Borough Central,SRTM_1arc,Residential,,OpenChannel,Blended,High
25.683689,-80.143126,20.23,7.96,80.1,64.0,100,"Miami, USA",Sector 11,Copernicus_EEA-10_v5,Commercial,A,CurbInlet,ERA5,Low
29.917917,-90.133784,10.49,8.41,85.6,34.8,2,"New Orleans, USA",Borough Hillside,SRTM_1arc,Residential,D,Manhole,IMD,Low
14.626959,121.034607,5.55,2.59,206.9,43.3,25,"Manila, Philippines",Borough Riverside,Copernicus_GLO-30_v2023,Residential,D,OpenChannel,Blended,Very High
37.93318,23.867411,101.45,8.64,107.2,50.0,25,"Athens, Greece",Zone VIII,Copernicus_GLO-30_v2023,Commercial,A,CurbInlet,Blended,Low
1.381917,103.765085,9.63,9.38,250.4,47.4,25,"Singapore, Singapore",District 30,SRTM_1arc,Commercial,A,OpenChannel,ERA5,Low
37.826832,-122.317446,,5.84,51.2,39.1,50,"San Francisco, USA",Zone II,Copernicus_EEA-10_v5,Industrial,B,GratedInlet,Blended,Low
35.619716,139.666566,85.07,7.14,22.0,13.1,5,"Tokyo, Japan",Borough Riverside,SRTM_1arc,Roads,A,OpenChannel,LocalGauge,Low
30.013738,-89.898774,7.31,9.29,62.7,88.1,5,"New Orleans, USA",Sector 27,SRTM_1arc,Roads,C,OpenChannel,ERA5,High
24.79732,66.950893,39.82,5.92,26.1,29.7,5,"Karachi, Pakistan",Borough Hillside,Copernicus_GLO-30_v2023,Commercial,D,,ERA5,Low
24.92432,67.113589,-3.0,5.59,22.5,26.8,2,"Karachi, Pakistan",Borough East,Copernicus_EEA-10_v5,Residential,D,Manhole,Blended,High
-6.291373,106.866273,23.46,4.57,19.6,99.9,10,"Jakarta, Indonesia",Borough South,SRTM_1arc,Residential,B,CurbInlet,Blended,Moderate
-1.189306,36.702201,33.15,3.78,87.1,28.6,25,"Nairobi, Kenya",Borough Hillside,Copernicus_GLO-90_v2022,Residential,B,Manhole,,Low
-1.294683,36.690698,0.43,5.92,15.7,19.6,2,"Nairobi, Kenya",District 5,SRTM_3arc,Residential,B,OpenChannel,ERA5,High
13.094673,80.136531,1.55,,175.8,78.8,50,"Chennai, India",District 3,SRTM_1arc,Residential,B,CurbInlet,ERA5,High
19.119209,72.974745,-1.52,5.29,80.9,60.4,25,"Mumbai, India",Sector 12,SRTM_1arc,Industrial,,Manhole,LocalGauge,Very High
24.873609,67.004016,168.72,5.13,126.1,53.8,5,"Karachi, Pakistan",Ward H,SRTM_1arc,Commercial,,Manhole,Blended,Low
22.601394,114.076103,11.56,7.98,92.1,129.1,100,"Shenzhen, China",Borough Riverside,Copernicus_EEA-10_v5,Roads,B,CurbInlet,ERA5,Moderate
41.918194,12.655554,,,224.5,37.3,5,"Rome, Italy",Zone X,Copernicus_GLO-30_v2023,Green,B,GratedInlet,ERA5,Low
-12.092222,-77.063148,,3.38,74.1,85.6,5,"Lima, Peru",Zone III,Copernicus_GLO-90_v2022,Residential,A,GratedInlet,LocalGauge,Moderate
34.572652,135.500546,-3.0,,86.9,33.4,2,"Osaka, Japan",Zone IV,Copernicus_EEA-10_v5,Residential,C,GratedInlet,ERA5,Very High
-6.355887,106.72977,8.53,6.13,99.6,65.8,10,"Jakarta, Indonesia",Borough West,Copernicus_GLO-30_v2023,Residential,A,Manhole,,Low
-11.99651,-77.205472,76.66,4.03,,56.9,10,"Lima, Peru",District 19,Copernicus_GLO-30_v2023,Residential,,OpenChannel,ERA5,Low
-33.916867,18.403212,,3.9,6.0,72.5,50,"Cape Town, South Africa",Sector 25,Copernicus_GLO-90_v2022,Residential,D,CurbInlet,ERA5,Low
3.132832,101.668637,7.92,5.14,78.6,72.2,100,"Kuala Lumpur, Malaysia",Zone III,SRTM_1arc,Residential,D,GratedInlet,ERA5,High
52.34962,4.931453,35.31,7.09,,27.3,100,"Amsterdam, Netherlands",Sector 10,Copernicus_GLO-30_v2023,Informal,A,Manhole,LocalGauge,Low
51.522421,-0.041596,30.56,5.68,165.4,51.7,25,"London, UK",District 29,SRTM_1arc,Institutional,D,CurbInlet,ERA5,Low
3.182016,101.620147,85.22,10.16,122.1,72.1,100,"Kuala Lumpur, Malaysia",Sector 22,Copernicus_GLO-90_v2022,Commercial,A,GratedInlet,ERA5,Low
25.786716,-80.317555,7.27,2.87,263.6,41.2,10,"Miami, USA",Zone V,Copernicus_EEA-10_v5,Institutional,D,OpenChannel,IMD,High
25.78801,-80.325151,9.35,3.97,157.1,50.9,5,"Miami, USA",Sector 3,Copernicus_GLO-30_v2023,Commercial,,CurbInlet,ERA5,Low
29.993055,-90.129588,13.63,6.04,75.8,46.0,50,"New Orleans, USA",Ward C,Copernicus_EEA-10_v5,Roads,A,CurbInlet,ERA5,Low
-33.793664,151.092246,1.95,9.25,110.7,51.9,5,"Sydney, Australia",Zone II,SRTM_3arc,Roads,C,CurbInlet,Blended,High
37.539976,127.097577,50.72,8.27,121.5,39.7,10,"Seoul, South Korea",Sector 28,Copernicus_EEA-10_v5,Commercial,B,CurbInlet,LocalGauge,Low
17.331108,78.483171,64.42,6.37,185.3,41.2,25,"Hyderabad, India",Borough Hillside,Copernicus_GLO-30_v2023,Green,C,,ERA5,Low
-22.863116,-43.254828,17.32,10.0,168.4,60.7,100,"Rio de Janeiro, Brazil",Ward J,Copernicus_GLO-30_v2023,Industrial,C,OpenChannel,LocalGauge,Low
25.29081,51.644414,,6.19,4.8,23.2,2,"Doha, Qatar",Ward J,SRTM_3arc,Commercial,B,GratedInlet,IMD,Low
-33.785876,151.266765,5.76,8.36,131.9,19.3,2,"Sydney, Australia",Zone VII,SRTM_1arc,Green,D,Manhole,Blended,High
-27.447855,153.020973,81.74,6.22,118.6,51.6,5,"Brisbane, Australia",Zone I,SRTM_1arc,Green,A,GratedInlet,,Low
-33.937933,151.32663,-1.47,5.36,49.6,29.3,10,"Sydney, Australia",District 1,SRTM_1arc,Industrial,C,CurbInlet,IMD,Very High
24.990263,121.476219,62.46,3.63,129.8,21.8,5,"Taipei, Taiwan",Ward I,SRTM_1arc,Roads,C,OpenChannel,,Low
-12.042736,-77.1659,42.61,6.24,56.6,24.1,2,"Lima, Peru",Zone IX,Copernicus_EEA-10_v5,Roads,B,CurbInlet,,Low
45.463651,-73.619883,45.99,9.58,,16.1,10,"Montreal, Canada",Zone V,Copernicus_GLO-30_v2023,Roads,D,Manhole,ERA5,Low
51.927443,4.541447,26.82,6.3,28.2,23.8,10,"Rotterdam, Netherlands",District 24,Copernicus_GLO-30_v2023,Industrial,C,OpenChannel,IMD,Low
52.474882,4.858746,7.81,5.29,14.2,37.9,25,"Amsterdam, Netherlands",Sector 26,Copernicus_GLO-30_v2023,Industrial,C,Manhole,LocalGauge,High
1.452783,103.876058,,10.89,53.0,48.1,5,"Singapore, Singapore",Zone VI,Copernicus_GLO-30_v2023,Industrial,D,GratedInlet,,Low
49.383375,-123.251292,-3.0,5.25,61.2,57.8,25,"Vancouver, Canada",District 28,Copernicus_GLO-30_v2023,Mixed,,CurbInlet,LocalGauge,Very High
10.84268,106.748436,21.62,7.59,200.3,54.0,2,"Ho Chi Minh City, Vietnam",Sector 16,SRTM_1arc,Water,C,Manhole,ERA5,Low
-23.507038,-46.615278,-3.0,6.45,43.5,45.1,10,"Sao Paulo, Brazil",Ward B,SRTM_3arc,Roads,B,Manhole,LocalGauge,High
49.314033,-123.119837,9.94,9.75,12.9,16.9,2,"Vancouver, Canada",Borough East,Copernicus_GLO-30_v2023,Industrial,,GratedInlet,ERA5,Low
37.888212,23.817331,-3.0,5.62,,31.8,5,"Athens, Greece",Zone II,Copernicus_EEA-10_v5,Commercial,B,CurbInlet,LocalGauge,High
14.562976,121.036665,,10.2,20.0,53.3,10,"Manila, Philippines",District 12,Copernicus_EEA-10_v5,Industrial,C,CurbInlet,Blended,Low
24.974956,121.547199,84.02,6.83,23.3,15.2,50,"Taipei, Taiwan",District 26,Copernicus_GLO-30_v2023,Residential,C,GratedInlet,,Low
24.551771,46.712203,-3.0,6.03,74.6,21.8,2,"Riyadh, Saudi Arabia",Ward C,Copernicus_GLO-30_v2023,Mixed,A,Manhole,LocalGauge,High
29.735935,-95.236374,57.71,7.9,,23.5,5,"Houston, USA",District 6,SRTM_3arc,Residential,D,CurbInlet,ERA5,Low
5.701548,-0.269862,9.88,3.81,60.2,79.2,50,"Accra, Ghana",District 7,SRTM_3arc,Residential,C,Manhole,ERA5,Low
-33.851686,151.135394,-3.0,,275.3,17.0,5,"Sydney, Australia",Ward K,SRTM_3arc,Industrial,C,OpenChannel,ERA5,Very High
